article_cluster,keyword,frequency,n_tokens,subcluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
3,panel data,2,2,2,0.3152085206425028,0.47602406237471584,0.009671324915482315,2,False,Panel data & Alternative information
3,bank concentration,1,2,3,0.4584609624946814,0.505308339304069,0.0036878431466645413,1,False,Panel data & Alternative information
3,digital financial inclusion,1,3,3,0.13666269836691103,0.34552951878535154,0.0036878431466645413,1,False,Panel data & Alternative information
3,output volatility,1,2,2,0.40065831754100056,0.5322524413975456,0.0036878431466645413,1,False,Panel data & Alternative information
3,crowdfunding,1,1,1,0.2845397706465713,0.38034935423387495,0.004083844539348429,1,False,Panel data & Alternative information
3,cryptocurrency,1,1,3,0.43072511566928084,0.46143818061369113,0.004083844539348429,1,False,Panel data & Alternative information
3,p2p lending,1,2,1,0.16693096636605842,0.37297629494440465,0.006492427364385649,2,False,Panel data & Alternative information
3,platforms,1,1,2,0.32823529261293216,0.42680673200004915,0.004083844539348429,1,False,Panel data & Alternative information
4,big tech,1,2,0,0.3804038906307352,0.43213196453286995,0.003958597369323497,1,False,Income inequality & Big tech
4,digital lending,1,2,0,0.27908108786440833,0.4332727928407498,0.006790361222391098,2,False,Income inequality & Big tech
4,fintech,4,1,0,0.17582302450167653,0.3587137463750617,0.04610841539316258,34,True,Income inequality & Big tech
4,inclusion,1,1,3,0.25583998904308636,0.4397121927481167,0.04128461833803348,1,False,Income inequality & Big tech
4,income inequality,4,2,3,0.3405962501755223,0.5103639958243286,0.013096149888067572,4,False,Income inequality & Big tech
4,c11,1,1,2,0.2173371199496974,0.3805210974845403,0.0028400942779270616,1,False,Income inequality & Big tech
4,d31,1,1,2,0.17865103474098498,0.3832578210919002,0.0028400942779270616,1,False,Income inequality & Big tech
4,d63,1,1,2,0.15480243186619225,0.4136817009180157,0.0028400942779270616,1,False,Income inequality & Big tech
4,f62,1,1,2,0.18664694399809045,0.43263006816808414,0.0028400942779270616,1,False,Income inequality & Big tech
4,feature selection,1,2,3,0.38633410321888906,0.505418828712954,0.0028400942779270616,1,False,Income inequality & Big tech
4,financial inclusion,2,2,0,0.24946952167733571,0.3599660118363197,0.03979307931191825,28,True,Income inequality & Big tech
4,fincredit,1,1,0,0.3111261624347186,0.4046247149553832,0.0028400942779270616,1,False,Income inequality & Big tech
4,o,1,1,1,0.20470866596139103,0.5086945963643271,0.0028400942779270616,1,False,Income inequality & Big tech
4,africa,1,1,1,0.20470866596139103,0.5610038287997248,0.010748885837258096,1,False,Income inequality & Big tech
4,institutions,1,1,3,0.3035184013118917,0.47974994924367664,0.008456364851664283,1,False,Income inequality & Big tech
4,digital financial services,1,3,0,0.17820085376967487,0.375869043060326,0.005117830701881677,1,False,Income inequality & Big tech
5,bank performance,1,2,2,0.22606870733306372,0.3127726777248734,0.004339431489997498,1,False,Financial technology & Sub-Saharan Africa
5,fintech,4,1,0,0.19264523677762957,0.30856154622568643,0.04610841539316258,34,True,Financial technology & Sub-Saharan Africa
5,inclusive finance,1,2,0,0.14866076225022662,0.24557010302545945,0.009912017144260982,2,False,Financial technology & Sub-Saharan Africa
5,open banking,1,2,0,0.34523463462700943,0.34827456325770223,0.004339431489997498,1,False,Financial technology & Sub-Saharan Africa
5,banks’ risk-taking,1,2,2,0.1598415970482152,0.3830864484297354,0.028187112218157142,1,False,Financial technology & Sub-Saharan Africa
5,financial inclusion,4,2,0,0.17292868974567732,0.2559692559096788,0.03979307931191825,28,True,Financial technology & Sub-Saharan Africa
5,financial stability,1,2,2,0.283408160928741,0.32302054138036795,0.006857601232515868,2,False,Financial technology & Sub-Saharan Africa
5,z-score,1,1,4,0.31841863310002283,0.6163768680280338,0.004271693275635462,1,False,Financial technology & Sub-Saharan Africa
5,financial technology,2,2,0,0.20344551670962385,0.3068567631270833,0.015226031625781932,7,False,Financial technology & Sub-Saharan Africa
5,fintech-based financial inclusion,1,3,0,0.12306935132485608,0.2759027210665863,0.002986214801511959,1,False,Financial technology & Sub-Saharan Africa
5,microfinance institutions,1,2,0,0.2970081460319802,0.38938225232692014,0.002986214801511959,1,False,Financial technology & Sub-Saharan Africa
5,risk-taking behavior,1,2,2,0.4160403358280311,0.5828420140215937,0.002986214801511959,1,False,Financial technology & Sub-Saharan Africa
5,sub-saharan africa,2,2,0,0.6368493613945378,0.6633705268730443,0.007462909655834451,3,False,Financial technology & Sub-Saharan Africa
5,bank risk,1,2,2,0.16340346863074307,0.3476486345330685,0.004280728799477219,1,False,Financial technology & Sub-Saharan Africa
5,regulation,1,1,4,0.27368623387665003,0.5351778208075209,0.0077615957746672674,1,False,Financial technology & Sub-Saharan Africa
5,account ownership,1,2,3,0.3437620208775518,0.5445960831271319,0.0020072232246325468,1,False,Financial technology & Sub-Saharan Africa
5,black swan,1,2,1,0.34919095637331976,0.6635805922073728,0.0020072232246325468,1,False,Financial technology & Sub-Saharan Africa
5,credit card,1,2,3,0.1642285675739732,0.49840777643123935,0.0020072232246325468,1,False,Financial technology & Sub-Saharan Africa
5,debit card,1,2,3,0.17399100631402098,0.48540142946911913,0.0020072232246325468,1,False,Financial technology & Sub-Saharan Africa
5,digital finance,1,2,0,0.15824278566794003,0.26747810123661997,0.0020072232246325468,1,False,Financial technology & Sub-Saharan Africa
5,efficiency,1,1,4,0.2412037627637894,0.5741438262088738,0.008901205191873453,1,False,Financial technology & Sub-Saharan Africa
5,financial innovation,1,2,0,0.2369588774011856,0.287315984872589,0.01212833965001484,3,False,Financial technology & Sub-Saharan Africa
5,formal accounts,1,2,1,0.2775844721543459,0.4627713538376812,0.0020072232246325468,1,False,Financial technology & Sub-Saharan Africa
5,insolvency risk,1,2,2,0.26201340901412573,0.4154641188120304,0.0020072232246325468,1,False,Financial technology & Sub-Saharan Africa
5,non-performing loans,1,2,1,0.2826601070154855,0.44155572568161006,0.003924056554564511,2,False,Financial technology & Sub-Saharan Africa
