keyword,frequency,n_tokens,cluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
alternative information,1,2,3,0.5036496919346217,0.5259085126270546,0.002792246646982176,1,False,China & Economics
digital inclusion,1,2,2,0.42708799420144106,0.4809732307086573,0.002792246646982176,1,False,Bank FinTech & Fintech credit
ethics,1,1,3,0.5189192565177918,0.6680290171739723,0.002792246646982176,1,False,China & Economics
public policy,1,2,5,0.484127084481486,0.532329923033164,0.002792246646982176,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
social responsibilities,1,2,4,0.4899835996796744,0.5621745500823818,0.002792246646982176,1,False,Credit risk & Bank credit risk
alternative data sources,1,3,1,0.4234565758342633,0.424606479059066,0.0029403820462557346,1,False,Alternative credit & Bigtech credit
credit scoring,1,2,1,0.2945208142668876,0.4218152970774425,0.0029403820462557346,1,False,Alternative credit & Bigtech credit
creditworthiness,1,1,1,0.3355882674458752,0.4433339134082205,0.0029403820462557346,1,False,Alternative credit & Bigtech credit
social media analytics,1,3,3,0.5096340895614271,0.5810831239587086,0.0029403820462557346,1,False,China & Economics
micro-finance institutes,1,2,2,0.3488976068553491,0.39103123402678497,0.0036556225742735106,1,False,Bank FinTech & Fintech credit
risky behaviour,1,2,4,0.43700137288578067,0.5607112423507261,0.0036556225742735106,1,False,Credit risk & Bank credit risk
south asia,1,2,5,0.5343754331462011,0.6783131432902731,0.0036556225742735106,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
bootstrap,1,1,3,0.4697569830576175,0.6268839672868025,0.0036854458773177075,1,False,China & Economics
cross-country analysis,1,2,5,0.3712345103842768,0.5241987527349288,0.0036854458773177075,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
entrepreneurial risk,1,2,4,0.36620385387913046,0.4993030297010581,0.0036854458773177075,1,False,Credit risk & Bank credit risk
panel data,2,2,5,0.4307000580710387,0.51553867314404,0.009671324915482315,2,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
bank profitability,1,2,0,0.2550959750766377,0.3853848448349765,0.0043005726848342465,1,False,Commercial banks & bank lending
developing countries,1,2,5,0.29863671956782856,0.49868830649791185,0.0043005726848342465,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
credit risk management,1,3,4,0.3030321237999902,0.4311613695518127,0.0030953311291113763,1,False,Credit risk & Bank credit risk
lending efficiency,1,2,4,0.38857793505133253,0.3709879163098312,0.0030953311291113763,1,False,Credit risk & Bank credit risk
lendingclub,1,1,1,0.3171135593965815,0.4587652814947426,0.0030953311291113763,1,False,Alternative credit & Bigtech credit
marketplace lending,1,2,1,0.3530304922787144,0.41964694698050353,0.0030953311291113763,1,False,Alternative credit & Bigtech credit
p2p lending,2,2,1,0.32295320645142644,0.4274072290941342,0.006492427364385649,2,False,Alternative credit & Bigtech credit
perceived regulatory support,1,3,4,0.5095589773688816,0.5748921335988871,0.003829938324633144,1,False,Credit risk & Bank credit risk
digital divide,1,2,5,0.4371901276836503,0.5098987461089238,0.004105802453229092,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
digital inequality,1,2,5,0.42852632660986234,0.5066042387075776,0.004105802453229092,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
utaut2,1,1,3,0.48503208134012743,0.6591083841906664,0.004105802453229092,1,False,China & Economics
digital economy,1,2,2,0.41437417383355224,0.44080552891456337,0.0037652643216191228,1,False,Bank FinTech & Fintech credit
regulatory resources,1,2,4,0.4378770342588102,0.5009204492986061,0.0037652643216191228,1,False,Credit risk & Bank credit risk
technological innovation,1,2,3,0.4200164606960418,0.4697954434935572,0.0037652643216191228,1,False,China & Economics
generalized method of moments,1,4,5,0.5462740009078539,0.6391230137395656,0.0031293838329069655,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
principal component analysis,1,3,3,0.565907208505914,0.6154822299999951,0.0031293838329069655,1,False,China & Economics
traditional financial inclusion,1,3,2,0.19724306111593282,0.2962024447177558,0.0031293838329069655,1,False,Bank FinTech & Fintech credit
financial regulation,1,2,4,0.346338488308641,0.38188305770856446,0.004301863874500953,1,False,Credit risk & Bank credit risk
micro-risks,1,1,4,0.3377971118655896,0.4542026747353052,0.004301863874500953,1,False,Credit risk & Bank credit risk
financial innovation,3,2,2,0.27360137825867725,0.318837994035978,0.01212833965001484,3,False,Bank FinTech & Fintech credit
credit mismatch,1,2,1,0.3407658553160241,0.44074193000659523,0.003874961281287196,1,False,Alternative credit & Bigtech credit
green innovation,1,2,3,0.47608099595564446,0.48917064423628476,0.003874961281287196,1,False,China & Economics
sustainable development,1,2,5,0.4261081061575098,0.551517128973662,0.003874961281287196,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
economic development,1,2,5,0.2719569435870959,0.4272846517686686,0.0028960275847588713,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
high-income countries,1,2,5,0.37658053116587875,0.5268261254799639,0.0028960275847588713,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
middle-income countries,1,2,5,0.3485412418227716,0.5213688490886043,0.0028960275847588713,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
panel regression analysis,1,3,5,0.3997654289166992,0.5829298601565998,0.0028960275847588713,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
bank concentration,1,2,0,0.2071997409029398,0.4218403247943159,0.0036878431466645413,1,False,Commercial banks & bank lending
digital financial inclusion,1,3,2,0.1669159027455831,0.33933286536882523,0.0036878431466645413,1,False,Bank FinTech & Fintech credit
output volatility,1,2,3,0.5117641630937905,0.5522819728105521,0.0036878431466645413,1,False,China & Economics
engagement,1,1,3,0.43876315546567457,0.5411457225024054,0.004542425456648286,1,False,China & Economics
financial products,1,2,2,0.3513894509688107,0.3368871484012752,0.004542425456648286,1,False,Bank FinTech & Fintech credit
fintech ecosystem,1,2,2,0.2198162104134369,0.37004287111352085,0.004542425456648286,1,False,Bank FinTech & Fintech credit
"business, management and accounting",1,4,3,0.5419427262622702,0.5289600551537389,0.008767295143176953,1,False,China & Economics
commercial bank,1,2,0,0.19280425380082267,0.4270033687471061,0.0023319075437338555,1,False,Commercial banks & bank lending
corporate finance,1,2,4,0.40458605581539253,0.4268215837496324,0.0023319075437338555,1,False,Credit risk & Bank credit risk
credit & credit institutions,1,4,1,0.3536655357422325,0.40817412578933765,0.035681573534049625,1,False,Alternative credit & Bigtech credit
fintech index,1,2,2,0.24834302783442075,0.37512541054578963,0.0023319075437338555,1,False,Bank FinTech & Fintech credit
non-performing loans,2,2,4,0.4193942716277548,0.4651062027856123,0.003924056554564511,2,False,Credit risk & Bank credit risk
africa,1,1,3,0.5697814242631186,0.6891620815773958,0.010748885837258096,1,False,China & Economics
institutions,1,1,3,0.46148947357266634,0.4613252391082967,0.008456364851664283,1,False,China & Economics
disadvantaged communities,1,2,5,0.4264061938985404,0.5314418355848345,0.00549680360723168,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
inclusivity,1,1,3,0.4838472240214453,0.5625028586107773,0.00549680360723168,1,False,China & Economics
bank-specific factors,1,2,0,0.24553856552264075,0.38676964726890706,0.002916649826921625,1,False,Commercial banks & bank lending
brics economies,1,2,5,0.3933141785762574,0.4670849489216684,0.002916649826921625,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
gdp growth,1,2,5,0.4002190546497191,0.5312010978868347,0.002916649826921625,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
macroeconomic factors,1,2,5,0.4123404986726227,0.4928886386891336,0.002916649826921625,1,False,"Development Economics & Dr David McMillan, University of Stirling, United Kingdom of Great Britain and Northern Ireland"
crowdfunding,1,1,1,0.39987516747336493,0.4707442747831909,0.004083844539348429,1,False,Alternative credit & Bigtech credit
cryptocurrency,1,1,1,0.5256401777480082,0.52174883412164,0.004083844539348429,1,False,Alternative credit & Bigtech credit
platforms,1,1,3,0.36635686962707725,0.4984056853310137,0.004083844539348429,1,False,China & Economics
digital financial services,1,3,2,0.16866557430708817,0.33515907792641997,0.005117830701881677,1,False,Bank FinTech & Fintech credit
account ownership,1,2,1,0.550055776382103,0.5531460811628005,0.0020072232246325468,1,False,Alternative credit & Bigtech credit
black swan,1,2,3,0.5533329787719864,0.69135478581507,0.0020072232246325468,1,False,China & Economics
credit card,1,2,1,0.39756372163933584,0.5296985496364954,0.0020072232246325468,1,False,Alternative credit & Bigtech credit
debit card,1,2,1,0.4814411106378569,0.546642593673375,0.0020072232246325468,1,False,Alternative credit & Bigtech credit
digital finance,1,2,2,0.1190109466415461,0.2935802560479256,0.0020072232246325468,1,False,Bank FinTech & Fintech credit
efficiency,1,1,3,0.4302389076399,0.5715624516880725,0.008901205191873453,1,False,China & Economics
formal accounts,1,2,4,0.4870368129065843,0.4860171334544482,0.0020072232246325468,1,False,Credit risk & Bank credit risk
insolvency risk,1,2,4,0.2914105049832507,0.4427749433253374,0.0020072232246325468,1,False,Credit risk & Bank credit risk
