article_cluster,keyword,frequency,n_tokens,subcluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
2,sme,1,1,4,0.3774895759153126,0.5097869449667907,0.005636296633438057,1,False,Digitalization & Microfoundations
2,automotive industry,1,2,4,0.37396344978869234,0.5305444347378029,0.0037766497828046228,1,False,Digitalization & Microfoundations
2,case study,1,2,0,0.2863602715113647,0.4844081284882039,0.010289425568330462,3,False,Digitalization & Microfoundations
2,industry 4.0,2,2,4,0.26097261390138626,0.38443099301098216,0.010866840613669057,2,False,Digitalization & Microfoundations
2,digital dynamic capabilities,1,3,1,0.24100427052972084,0.2950256739390753,0.0044160946553217515,1,False,Digitalization & Microfoundations
2,digital leadership,1,2,1,0.27018988526399945,0.3640576987937676,0.009086269118428565,3,False,Digitalization & Microfoundations
2,emerging market firms,1,3,3,0.3660639940247522,0.5041626119231137,0.004150593962486628,1,False,Digitalization & Microfoundations
2,qualitative study,1,2,0,0.2014999995925506,0.5065086538463482,0.00682184672401593,2,False,Digitalization & Microfoundations
2,digital process innovation,1,3,1,0.15400614384689282,0.2949490110204608,0.0022315004319083264,1,False,Digitalization & Microfoundations
2,process development,1,2,2,0.2708862604293778,0.33973928725122926,0.0022315004319083264,1,False,Digitalization & Microfoundations
2,production system development,1,3,2,0.29744841494808216,0.4159156905815752,0.0022315004319083264,1,False,Digitalization & Microfoundations
2,smart factory,1,2,4,0.2935076941055752,0.4429803037159725,0.0022315004319083264,1,False,Digitalization & Microfoundations
2,steel industry,1,2,4,0.3532799578773077,0.5772648077442801,0.0022315004319083264,1,False,Digitalization & Microfoundations
3,digital transformation,3,2,1,0.21069224899650396,0.3861006326306544,0.04723341300078426,42,True,ESG performance & Firm performance
3,esg performance,2,2,0,0.11043886759376609,0.3071319564241253,0.005816813345976259,2,False,ESG performance & Firm performance
3,firm performance,1,2,0,0.27176745510316924,0.3779537398050177,0.01099710490204713,3,False,ESG performance & Firm performance
3,human capital,1,2,2,0.3257399753917172,0.4176306710366193,0.005522798393907178,2,False,ESG performance & Firm performance
3,operational efficiency,1,2,0,0.31319785350692053,0.3698452661009024,0.003049410105258905,1,False,ESG performance & Firm performance
3,technological innovation,1,2,1,0.15034308148057307,0.34341215067381314,0.008304894392379237,3,False,ESG performance & Firm performance
3,dynamic capability theory,1,3,2,0.19444097969127205,0.39560213758732876,0.0033826872441053714,1,False,ESG performance & Firm performance
3,green innovation,1,2,1,0.1932641010199838,0.3951324660061468,0.0033826872441053714,1,False,ESG performance & Firm performance
3,social attention,1,2,2,0.39828571370699994,0.5391080110901253,0.0033826872441053714,1,False,ESG performance & Firm performance
3,dynamic capabilities,1,2,2,0.19061334303541622,0.32738984049752795,0.04652296179299104,30,True,ESG performance & Firm performance
3,esg,1,1,0,0.24504017236575315,0.3977801812501016,0.012403913104696965,1,False,ESG performance & Firm performance
4,digital technology,1,2,0,0.18289956986060196,0.3591092962600858,0.0052118625833561995,1,False,Digital Technology & Internationalization
4,digital transformation,9,2,0,0.17674263181964234,0.26413117346542325,0.04723341300078426,42,True,Digital Technology & Internationalization
4,dynamic capabilities,7,2,2,0.2677247040258547,0.3672056164125479,0.04652296179299104,30,True,Digital Technology & Internationalization
4,internationalization,1,1,2,0.47555569403827636,0.4352655968036707,0.0052118625833561995,1,False,Digital Technology & Internationalization
4,case study,1,2,1,0.380552830370123,0.5772507520695946,0.010289425568330462,3,False,Digital Technology & Internationalization
4,dynamic capability,1,2,2,0.29142902532534376,0.3833223149434114,0.019790523260593183,6,False,Digital Technology & Internationalization
4,emerging market,1,2,3,0.3293039321925961,0.5006968666647604,0.007143520042875603,1,False,Digital Technology & Internationalization
4,organisational remodelling,1,2,2,0.3734900692580203,0.43220867806008,0.003748544895853194,1,False,Digital Technology & Internationalization
4,enterprise dynamic capabilities,1,3,2,0.2048644463268463,0.29968407776855144,0.004274879791187585,1,False,Digital Technology & Internationalization
4,“business model innovation”,1,3,4,0.2052524763443867,0.3787110200207723,0.02959974305140611,1,False,Digital Technology & Internationalization
4,digital maturity,1,2,0,0.23695492937783236,0.31318603165693815,0.008223326090475675,2,False,Digital Technology & Internationalization
4,innovation performance,1,2,4,0.23746634884737317,0.3331258925088296,0.007744960255783678,1,False,Digital Technology & Internationalization
4,absorptive capacity,1,2,2,0.35611382187528706,0.44299750430817,0.0027717928138592286,1,False,Digital Technology & Internationalization
4,differentiation strategy,1,2,4,0.43250962362031764,0.4854033344498897,0.0027717928138592286,1,False,Digital Technology & Internationalization
4,dynamic operational capability,1,3,2,0.3035303351778298,0.40035197104547904,0.0027717928138592286,1,False,Digital Technology & Internationalization
4,lean production mechanism,1,3,2,0.39606755540243355,0.464148620618277,0.0027717928138592286,1,False,Digital Technology & Internationalization
4,process digitalization initiative,1,3,0,0.19075273928791492,0.30322775309876393,0.0027717928138592286,1,False,Digital Technology & Internationalization
4,manufacturing digitalization,1,2,0,0.2591166475635833,0.358924257660577,0.0038574087153734936,1,False,Digital Technology & Internationalization
4,manufacturing firms,1,2,2,0.45513855592054975,0.5029687189489459,0.0038574087153734936,1,False,Digital Technology & Internationalization
4,technological innovation,1,2,4,0.19619706664504633,0.3028596353617332,0.008304894392379237,3,False,Digital Technology & Internationalization
4,strategic aggressiveness,1,2,3,0.34359635590254145,0.5005720757054826,0.006342135754032423,1,False,Digital Technology & Internationalization
4,organizational resilience,1,2,2,0.3507939922952452,0.4573247894746626,0.0045973165031683635,1,False,Digital Technology & Internationalization
4,technology disruption,1,2,4,0.26978296595292584,0.3294113826729861,0.0045973165031683635,1,False,Digital Technology & Internationalization
4,digital capabilities,1,2,0,0.20219467485651088,0.2594392575962272,0.005505747228388988,2,False,Digital Technology & Internationalization
4,digital culture,1,2,0,0.24115240633077895,0.36316987834889125,0.005561971672379939,2,False,Digital Technology & Internationalization
4,digital transformation (dt),1,3,0,0.24015942070813145,0.32430139437395733,0.06494355948868537,2,False,Digital Technology & Internationalization
4,digital-oriented human resources practices,1,4,0,0.3308371038977177,0.37024314614444787,0.0027254426061513915,1,False,Digital Technology & Internationalization
4,dt vision,1,2,2,0.5663723497917781,0.5335969491317131,0.0027254426061513915,1,False,Digital Technology & Internationalization
4,leadership,1,1,1,0.27810184238119606,0.47550238018387103,0.010650684212296101,1,False,Digital Technology & Internationalization
4,business model innovation,1,3,4,0.20480046778658179,0.38756972172053605,0.007652955260180743,1,False,Digital Technology & Internationalization
4,company performance,1,2,2,0.3988491135007606,0.428709666794429,0.004187580720436483,1,False,Digital Technology & Internationalization
4,autonomous growth group,1,3,1,0.38564432319309216,0.5006872043258835,0.0018119940813229117,1,False,Digital Technology & Internationalization
4,common language,1,2,1,0.4069975794362266,0.6255813176229268,0.0018119940813229117,1,False,Digital Technology & Internationalization
4,digital disruption,1,2,4,0.2403561043979413,0.2689065294747829,0.0018119940813229117,1,False,Digital Technology & Internationalization
4,digital platforms,1,2,0,0.21161633126966972,0.31968839762134316,0.0018119940813229117,1,False,Digital Technology & Internationalization
4,digitization,1,1,0,0.2107895426245069,0.39470856808189536,0.004679677708373129,1,False,Digital Technology & Internationalization
4,disruptive innovation,1,2,4,0.1777443811251257,0.3894161400017666,0.0018119940813229117,1,False,Digital Technology & Internationalization
4,innovative culture,1,2,4,0.2904604038013512,0.3765828231919084,0.0018119940813229117,1,False,Digital Technology & Internationalization
4,multimedia mindset,1,2,0,0.39261232179994165,0.4150479150749228,0.0018119940813229117,1,False,Digital Technology & Internationalization
4,organizational capabilities,1,2,2,0.23527320690522813,0.3652225291599296,0.005827331366433628,2,False,Digital Technology & Internationalization
4,resources-processes-values (rpv) framework,1,3,2,0.40820239340285613,0.5048148276618556,0.008864482791918345,1,False,Digital Technology & Internationalization
4,response performance,1,2,3,0.3897288196666512,0.5701341093297393,0.0018119940813229117,1,False,Digital Technology & Internationalization
4,staged resource allocation,1,3,2,0.43915960373144913,0.504984223680957,0.0018119940813229117,1,False,Digital Technology & Internationalization
4,digital barriers,1,2,0,0.36863097409235057,0.425246947976917,0.0037215897738203663,1,False,Digital Technology & Internationalization
4,micro-foundations,1,1,2,0.40339283904934065,0.4704613638158739,0.007442968541341317,2,False,Digital Technology & Internationalization
4,process-based perspective,1,2,2,0.36374527235403276,0.4453441370952629,0.0037215897738203663,1,False,Digital Technology & Internationalization
4,smes,1,1,2,0.5084624537363418,0.5248647329918137,0.011386653917105515,4,False,Digital Technology & Internationalization
4,digitalization,1,1,0,0.14571116363887482,0.3101244080482103,0.0157996667883006,5,False,Digital Technology & Internationalization
4,innovation,1,1,4,0.2038950814748286,0.36048227822322965,0.02959974305140611,5,False,Digital Technology & Internationalization
4,knowledge,1,1,1,0.3230708993102571,0.5744018600826295,0.004667451376565912,1,False,Digital Technology & Internationalization
4,market-sensing,1,1,3,0.21533034441777354,0.43933813441561154,0.004667451376565912,1,False,Digital Technology & Internationalization
4,social media,1,2,0,0.41026790031006144,0.4880896871943944,0.004667451376565912,1,False,Digital Technology & Internationalization
5,digital transformation,7,2,2,0.2209897170467614,0.32545671447160984,0.04723341300078426,42,True,Performance & SMEs
5,dynamic capabilities,5,2,3,0.13629501466766403,0.32854359988110726,0.04652296179299104,30,True,Performance & SMEs
5,firm performance,1,2,4,0.15796570918173292,0.395902926169838,0.01099710490204713,3,False,Performance & SMEs
5,digital culture,1,2,2,0.20351555045319614,0.39602677321429924,0.005561971672379939,2,False,Performance & SMEs
5,digital leadership,1,2,2,0.23607990065565965,0.343602782297746,0.009086269118428565,3,False,Performance & SMEs
5,small and medium-sized enterprises,1,4,1,0.0641203946030815,0.43522272478991186,0.0034248567284321063,1,False,Performance & SMEs
5,born-digital,1,1,2,0.29112383747674886,0.48377669262926193,0.00286363729553877,1,False,Performance & SMEs
5,collaborative innovation,1,2,0,0.1593317038958304,0.39992597275659525,0.00286363729553877,1,False,Performance & SMEs
5,performance,2,1,4,0.30475687288622444,0.4449578543209306,0.030542791118635844,3,False,Performance & SMEs
5,relational collaboration,1,2,0,0.2960491969523156,0.442116821496234,0.00286363729553877,1,False,Performance & SMEs
5,small- and medium-sized enterprise (sme),1,5,1,0.07332658696355998,0.46427756583967095,0.009559394861488157,1,False,Performance & SMEs
5,dynamic capability,1,2,3,0.14976647332710147,0.3480475838715458,0.019790523260593183,6,False,Performance & SMEs
5,financial performance,1,2,4,0.16723972991327885,0.4371491915276756,0.004347163745665616,1,False,Performance & SMEs
5,market performance,1,2,4,0.1854367092709347,0.4212106398066904,0.004347163745665616,1,False,Performance & SMEs
5,digital business performance,1,3,4,0.2373735931205443,0.29412961376869484,0.003362685041693381,1,False,Performance & SMEs
5,digital capabilities,1,2,2,0.19587226186287587,0.26722559235386256,0.005505747228388988,2,False,Performance & SMEs
5,ecosystem orchestration,1,2,0,0.40442305874162465,0.491881271151112,0.003362685041693381,1,False,Performance & SMEs
5,process digitization,1,2,2,0.28344271274721755,0.4707228137997028,0.003362685041693381,1,False,Performance & SMEs
5,responsiveness,1,1,3,0.3823160299137174,0.4829824297304457,0.003362685041693381,1,False,Performance & SMEs
5,dynamic digital capability,1,3,3,0.20207534521462112,0.25280900588533173,0.0028109985456394168,1,False,Performance & SMEs
5,fsqca,1,1,3,0.4670594715069136,0.5344553296411503,0.0028109985456394168,1,False,Performance & SMEs
5,organizational innovation,1,2,0,0.22075814167317087,0.42494691232987314,0.0028109985456394168,1,False,Performance & SMEs
5,configurational approach,1,2,3,0.40059096034684294,0.5368919093732349,0.0028109985456394168,1,False,Performance & SMEs
5,small to medium-sized enterprises,1,4,1,0.06041206298352764,0.4349312519448554,0.0028109985456394168,1,False,Performance & SMEs
5,case study,1,2,0,0.4650860334223058,0.5366000693975578,0.010289425568330462,3,False,Performance & SMEs
5,competitive advantage,1,2,4,0.3306962782808508,0.4099578496520049,0.008646039876485417,3,False,Performance & SMEs
5,innovation,1,1,0,0.24889008791985734,0.4121694915319001,0.02959974305140611,5,False,Performance & SMEs
5,qualitative study,1,2,3,0.5019298740344873,0.5656634908085237,0.00682184672401593,2,False,Performance & SMEs
5,cyber-security,1,1,2,0.391092033456091,0.5018490912091372,0.00317056297919225,1,False,Performance & SMEs
5,digital literacy,1,2,2,0.20643438890121257,0.42149732495934944,0.00317056297919225,1,False,Performance & SMEs
5,dynamic capabilities of the resourcebased view,1,6,3,0.25717224351424894,0.38221337574844316,0.04928434435405537,1,False,Performance & SMEs
5,smes,2,1,1,0.20237632663483673,0.46728557704518203,0.011386653917105515,4,False,Performance & SMEs
5,agrifood businesses,1,2,4,0.47601879886281195,0.5011233471043846,0.005065645250369705,1,False,Performance & SMEs
