keyword,frequency,n_tokens,cluster,distance_from_subcentroid,centrality,tfidf,global_frequency,is_core_domain,cluster_label
luxury,1,1,5,0.47515168363634896,0.5701081120948437,0.0047735004492718645,1,False,USE model & Value
business,1,1,3,0.31410808828276005,0.4337918357751044,0.010024913633865023,1,False,Social commerce & Retailing
cause-related marketing,1,2,0,0.5515309379451334,0.5437267788490234,0.0038889850668642925,1,False,POPMART & Community
enjoyment,1,1,5,0.4395259667191843,0.5027321473449663,0.0038889850668642925,1,False,USE model & Value
favorability,1,1,5,0.46181872366967003,0.5069405666209378,0.0038889850668642925,1,False,USE model & Value
gamified,1,1,1,0.12150869583516188,0.46161943706899256,0.01610057616406054,1,False,Gamification in marketing & gamification marketing
badge,1,1,5,0.502872092330422,0.5758276298413648,0.0030494442868067707,1,False,USE model & Value
heterogeneous treatment effect,1,3,5,0.5702545487987327,0.659619401782884,0.0030494442868067707,1,False,USE model & Value
leaderboard,1,1,5,0.4412607948459897,0.48354789051880287,0.0030494442868067707,1,False,USE model & Value
location-based technology,1,2,0,0.4515103794270414,0.561630278944804,0.0030494442868067707,1,False,POPMART & Community
randomized field experiment,1,3,5,0.5064978834876694,0.5892913134817825,0.0030494442868067707,1,False,USE model & Value
gamified experience,1,2,1,0.10204013795882894,0.4072568958090581,0.003290859794188528,1,False,Gamification in marketing & gamification marketing
tourism app experience,1,3,0,0.4084969432362793,0.4861016922079744,0.003290859794188528,1,False,POPMART & Community
tourism exposition,1,2,0,0.47000867483812425,0.5724791521818343,0.003290859794188528,1,False,POPMART & Community
ethics,1,1,5,0.4758278350116403,0.5957300488962416,0.004829060959243266,1,False,USE model & Value
regulation,1,1,5,0.4729924780431227,0.5586867474181937,0.004829060959243266,1,False,USE model & Value
stealth marketing,1,2,0,0.4409972264641173,0.46006057021370106,0.004829060959243266,1,False,POPMART & Community
customer behavior,1,2,7,0.19622431540712904,0.3590080670608976,0.004152273160011122,1,False,Customer buying intentions & consumer experience
e-marketing,1,1,0,0.3014165642770035,0.41517790306983227,0.004152273160011122,1,False,POPMART & Community
online shopping behavior,1,3,7,0.3060503020287392,0.4001035246645478,0.004152273160011122,1,False,Customer buying intentions & consumer experience
construal level theory,1,3,6,0.48289103290766155,0.6595162140873773,0.002804098975820524,1,False,Elemental tetrad model & Hedonic motivation
gamified marketing,1,2,1,0.11480369101603305,0.39387651253754186,0.008462334508561192,1,False,Gamification in marketing & gamification marketing
psychological distance,1,2,6,0.41114836320999315,0.6154347980545312,0.002804098975820524,1,False,Elemental tetrad model & Hedonic motivation
user participation,1,2,4,0.4028139246678535,0.4185383247537805,0.002804098975820524,1,False,Customer engagement & Consumer–brand engagement
